id,scientific_name,scientific_name_authorship,taxon_rank,accepted_name_usage,taxonomic_status,occurrence_status,establishment_means,degree_of_establishment,accepted_name_usage_id,family
b3239a03-00d7-463b-8dca-a2550c2e96ff,"Gleichenia circinnata",Sw.,species,"Gleichenia dicarpa",misapplication,excluded,native,native,544a8ad8-f41d-4197-9208-8a6b8b0c3c1f,Gleicheniaceae
544a8ad8-f41d-4197-9208-8a6b8b0c3c1f,"Gleichenia dicarpa",R.Br.,species,"Gleichenia dicarpa",accepted,present,native,native,544a8ad8-f41d-4197-9208-8a6b8b0c3c1f,Gleicheniaceae
4b23cbe1-ae0d-4180-84bc-44248cebe045,"Gleichenia microphylla",R.Br.,species,"Gleichenia microphylla",accepted,present,native,native,4b23cbe1-ae0d-4180-84bc-44248cebe045,Gleicheniaceae
90262e76-88bc-4585-980b-1c6c0fc1a80c,"Gleichenia rupestris",R.Br.,species,"Gleichenia rupestris",accepted,present,native,native,90262e76-88bc-4585-980b-1c6c0fc1a80c,Gleicheniaceae
476c7d3e-17c6-48cc-ad68-9170e89a9b58,Gleicheniaceae,,family,Gleicheniaceae,accepted,present,native,native,476c7d3e-17c6-48cc-ad68-9170e89a9b58,Gleicheniaceae
d66aa291-5689-4664-91cb-cef9673b8463,Gleicheniales,,order,Gleicheniales,accepted,present,native,native,d66aa291-5689-4664-91cb-cef9673b8463,
ee810c81-d7a8-42e0-98d7-19d18ef00996,Glinus,,genus,Glinus,accepted,present,native,native,ee810c81-d7a8-42e0-98d7-19d18ef00996,Molluginaceae
7431198d-0466-4035-92d3-a63fe6583310,"Glinus lotoides",L.,species,"Glinus lotoides",accepted,present,native,native,7431198d-0466-4035-92d3-a63fe6583310,Molluginaceae
affd9423-7613-4045-8bee-89f1a5bd9d3e,"Glinus oppositifolius","(L.) A.DC.",species,"Glinus oppositifolius",accepted,present,native,native,affd9423-7613-4045-8bee-89f1a5bd9d3e,Molluginaceae
d87357a2-3272-4508-b4d3-c21995b503a7,Glischrocaryon,,genus,Glischrocaryon,accepted,present,native,native,d87357a2-3272-4508-b4d3-c21995b503a7,Haloragaceae
451e10ed-efc6-4721-ac66-4771cac97905,"Glischrocaryon behrii","(Schltdl.) Orchard",species,"Glischrocaryon behrii",accepted,present,native,native,451e10ed-efc6-4721-ac66-4771cac97905,Haloragaceae
1aaa8b89-1f5e-4df1-ba60-7a6c7e9cea86,Glossocardia,,genus,Glossocardia,accepted,present,native,native,1aaa8b89-1f5e-4df1-ba60-7a6c7e9cea86,Asteraceae
61bc728c-3be0-40fc-aa59-fbf920de3d52,"Glossocardia bidens","(Retz.) Veldkamp",species,"Glossocardia bidens",accepted,present,native,native,61bc728c-3be0-40fc-aa59-fbf920de3d52,Asteraceae
ec00d4c9-3338-4f69-bbe5-cdd59a7b6627,Glossodia,,genus,Glossodia,accepted,present,native,native,ec00d4c9-3338-4f69-bbe5-cdd59a7b6627,Orchidaceae
f60fd9f0-dadb-49e1-b2e8-9bd5890b9ab4,"Glossodia major",R.Br.,species,"Glossodia major",accepted,present,native,native,f60fd9f0-dadb-49e1-b2e8-9bd5890b9ab4,Orchidaceae
9a614299-a486-416e-a811-fe969934fded,"Glossodia minor",R.Br.,species,"Glossodia minor",accepted,present,native,native,9a614299-a486-416e-a811-fe969934fded,Orchidaceae
6ab48d98-662b-4c85-894b-d96053b9cba4,"Glossogyne tenuifolia","Cass. ex Less.",species,"Glossocardia bidens",heterotypicSynonym,excluded,native,native,61bc728c-3be0-40fc-aa59-fbf920de3d52,Asteraceae
0762e7d1-7360-452d-a6d8-c66ceaf60f4f,Glossostigma,,genus,Glossostigma,accepted,present,native,native,0762e7d1-7360-452d-a6d8-c66ceaf60f4f,Phrymaceae
19eb785e-f8b6-4966-b147-5e637f6c8481,"Glossostigma cleistanthum",W.R.Barker,species,"Glossostigma cleistanthum",accepted,present,native,native,19eb785e-f8b6-4966-b147-5e637f6c8481,Phrymaceae
4ca71321-c4ba-47b8-87b9-134687a06694,"Glossostigma diandrum","(L.) Kuntze",species,"Glossostigma diandrum",accepted,present,native,native,4ca71321-c4ba-47b8-87b9-134687a06694,Phrymaceae
afbf3215-b495-4025-b29e-c36267be5ed7,"Glossostigma drummondii",Benth.,species,"Glossostigma drummondii",accepted,present,native,native,afbf3215-b495-4025-b29e-c36267be5ed7,Phrymaceae
abfc853b-0126-4448-8fd1-cf46b7a47e33,"Glossostigma elatinoides","(Benth.) Benth. ex Hook.f.",species,"Glossostigma elatinoides",accepted,present,native,native,abfc853b-0126-4448-8fd1-cf46b7a47e33,Phrymaceae
b703400a-f88e-42e5-b041-03fe408a40e1,"Glossostigma sp. (Forlorn Hope)",,species,"Glossostigma cleistanthum",synonym,excluded,native,native,19eb785e-f8b6-4966-b147-5e637f6c8481,Phrymaceae
2b9595c2-54c6-4a6e-a8c1-c9c769cb60d7,Glyceria,,genus,Glyceria,accepted,present,native,native,2b9595c2-54c6-4a6e-a8c1-c9c769cb60d7,Poaceae
29464a13-47e1-4ab0-b198-9c6f2f57db2d,"Glyceria australis",C.E.Hubb.,species,"Glyceria australis",accepted,present,native,native,29464a13-47e1-4ab0-b198-9c6f2f57db2d,Poaceae
27aea429-98f2-448a-ac06-d82159e0a6ae,"Glyceria declinata",Bréb,species,"Glyceria declinata",accepted,present,introduced,established,27aea429-98f2-448a-ac06-d82159e0a6ae,Poaceae
6c3bef28-a7bc-4de8-b2b5-e2c024159bbc,"Glyceria fluitans","(L.) R.Br.",species,"Glyceria fluitans",accepted,present,introduced,established,6c3bef28-a7bc-4de8-b2b5-e2c024159bbc,Poaceae
e1762c0e-009d-4d3a-b107-6c4457dd0e18,"Glyceria fluitans","(L.) R.Br.",species,"Glyceria declinata",misapplication,excluded,native,native,27aea429-98f2-448a-ac06-d82159e0a6ae,Poaceae
772668e1-31a7-4533-8a07-3e5b52c368ba,"Glyceria maxima","(Hart.) Holmb.",species,"Glyceria maxima",accepted,present,introduced,established,772668e1-31a7-4533-8a07-3e5b52c368ba,Poaceae
afd7f16e-deaf-4849-bc3d-0e7d86f9f4f9,"Glyceria notata",Chevall.,species,"Glyceria notata",accepted,present,introduced,established,afd7f16e-deaf-4849-bc3d-0e7d86f9f4f9,Poaceae
d8236b78-5845-4033-8bd4-3ae6d8864011,"Glyceria plicata","(Fr.) Fr.",species,"Glyceria notata",heterotypicSynonym,excluded,native,native,afd7f16e-deaf-4849-bc3d-0e7d86f9f4f9,Poaceae
7c50ebe0-f7d2-4178-a25b-3e47968f637e,Glycine,,genus,Glycine,accepted,present,native,native,7c50ebe0-f7d2-4178-a25b-3e47968f637e,Fabaceae
4c3c74e3-5606-4aff-971c-59c448033bf3,"Glycine canescens",F.J.Herm.,species,"Glycine canescens",accepted,present,native,native,4c3c74e3-5606-4aff-971c-59c448033bf3,Fabaceae
4441818f-b0dc-40a4-b2ec-268db551d025,"Glycine clandestina",J.C.Wendl.,species,"Glycine clandestina",accepted,present,native,native,4441818f-b0dc-40a4-b2ec-268db551d025,Fabaceae
a0f38cbc-b922-4d23-8731-6e96ed78c93d,"Glycine clandestina var. sericea",Benth.,variety,"Glycine clandestina",heterotypicSynonym,excluded,native,native,4441818f-b0dc-40a4-b2ec-268db551d025,Fabaceae
9f2c1e0c-5b3e-496b-b0dc-91d158240534,"Glycine latrobeana","(Meisn.) Benth.",species,"Glycine latrobeana",accepted,present,native,native,9f2c1e0c-5b3e-496b-b0dc-91d158240534,Fabaceae
90f870d4-99e1-4f2e-a546-4fdf2a0e087c,"Glycine microphylla","(Benth.) Tindale",species,"Glycine microphylla",accepted,present,native,native,90f870d4-99e1-4f2e-a546-4fdf2a0e087c,Fabaceae
cf0d68e2-b0a0-4b16-b767-5b962b87ee98,"Glycine tabacina","(Labill.) Benth.",species,"Glycine tabacina",accepted,present,native,native,cf0d68e2-b0a0-4b16-b767-5b962b87ee98,Fabaceae
b61a83e9-65d6-4ebc-87b4-dd6721252a10,Glycyrrhiza,,genus,Glycyrrhiza,accepted,present,native,native,b61a83e9-65d6-4ebc-87b4-dd6721252a10,Fabaceae
8ef89979-7c53-4a91-8749-68da1bdb4aba,"Glycyrrhiza acanthocarpa","(Lindl.) J.M.Black",species,"Glycyrrhiza acanthocarpa",accepted,present,native,native,8ef89979-7c53-4a91-8749-68da1bdb4aba,Fabaceae
afb52bf6-4b01-41e0-bc20-6061a1a53a87,"Glycyrrhiza glabra",L.,species,"Glycyrrhiza glabra",accepted,present,introduced,established,afb52bf6-4b01-41e0-bc20-6061a1a53a87,Fabaceae
2c3fdcd2-4af7-49f3-b431-3cebb39f54f0,Gnaphalium,,genus,Gnaphalium,accepted,present,native,native,2c3fdcd2-4af7-49f3-b431-3cebb39f54f0,Asteraceae
ee247e7a-ca85-4fd8-9f1c-42eed8b5c29c,"Gnaphalium americanum",Mill.,species,"Gamochaeta purpurea",misapplication,excluded,native,native,97801afc-2890-488c-97c2-a7f43bfab852,Asteraceae
7efebdba-fe3f-41e8-88d9-a8f4d97c7f8a,"Gnaphalium argentifolium",N.A.Wakef.,species,"Argyrotegium mackayi",heterotypicSynonym,excluded,native,native,c563267d-c2fb-4079-b880-b9b988a52ca9,Asteraceae
9fa45c3c-7393-4c31-b5a4-72feb0578cc8,"Gnaphalium calviceps",Fernald,species,"Gamochaeta calviceps",homotypicSynonym,excluded,native,native,483c54c7-9fa0-4d8b-872f-3723e7c9280f,Asteraceae
ce3e5000-e363-4f91-bf4f-dd53c3829ca5,"Gnaphalium candidissimum",Lam.,species,"Vellereophyton dealbatum",heterotypicSynonym,excluded,native,native,a61c20d3-bd29-4dd6-884d-71ce839a426b,Asteraceae
59894618-a436-4875-8e6e-db15a80f532b,"Gnaphalium coarctatum",Willd.,species,"Gamochaeta purpurea",heterotypicSynonym,excluded,native,native,97801afc-2890-488c-97c2-a7f43bfab852,Asteraceae
b00d387a-23c1-4f7c-b5e0-a961f2e0adb4,"Gnaphalium collinum",Labill.,species,"Euchiton japonicus",heterotypicSynonym,excluded,native,native,b13c7491-faf2-4ce5-9955-e5dd877bb311,Asteraceae
0f844e89-7c6c-46a8-86f2-68e677d485bc,"Gnaphalium ensifer",D.G.Drury,species,"Euchiton japonicus",misapplication,excluded,native,native,b13c7491-faf2-4ce5-9955-e5dd877bb311,Asteraceae
97d61978-5823-44ba-a90e-b755e4efb165,"Gnaphalium fordianum",M.Gray,species,"Argyrotegium fordianum",homotypicSynonym,excluded,native,native,0b49df4d-9aa1-4002-b232-36cdd9544e99,Asteraceae
1bf64338-bdd2-4b42-9678-27a8e0ea2eb0,"Gnaphalium gymnocephalum",DC.,species,"Euchiton japonicus",heterotypicSynonym,excluded,native,native,b13c7491-faf2-4ce5-9955-e5dd877bb311,Asteraceae
ba4e29d6-f845-4e92-aece-b20b0fd59573,"Gnaphalium indicum","auct.non L.",species,"Gnaphalium polycaulon",misapplication,excluded,native,native,28c0a2cd-9492-401d-8236-9bc3649630ee,Asteraceae
